,player_key,Pos,PTS,AST,STL,BLK,TRB,TOV,PF,Salary
199,OG Anunoby,SF,17.1,2.6,1.5,0.5,5.5,1.7,2.7,17357143
200,Jimmy Butler,SF,21.4,5.5,1.6,0.5,5.9,2.1,1.5,37653300
201,Juan Toscano-Anderson,SF,4.1,1.7,0.7,0.2,2.4,0.9,1.6,1836090
202,Cam Reddish,SF,10.1,1.0,1.0,0.3,2.1,1.2,1.2,5954454
203,Corey Kispert,SF,8.2,1.1,0.5,0.3,2.7,0.6,1.2,3552840
204,Danny Green,SF,5.9,1.0,1.0,0.6,2.5,0.7,1.7,10000000
205,Isaac Okoro,SF,8.8,1.8,0.8,0.3,3.0,0.9,2.4,7040880
206,Cedi Osman,SF,10.7,2.0,0.8,0.2,2.2,1.0,1.9,7426088
207,Kelly Oubre Jr.,SF,15.0,1.1,1.0,0.4,4.0,0.9,2.5,12600000
208,Max Strus,SF,10.6,1.4,0.4,0.2,3.0,0.8,1.7,1815677
209,Maurice Harkless,SF,4.6,0.5,0.6,0.5,2.4,0.7,1.6,4564980
210,Javonte Green,SF,7.2,0.9,1.0,0.5,4.2,0.5,2.0,1815677
211,Jonathan Kuminga,SF,9.3,0.9,0.4,0.3,3.3,1.1,2.1,5739840
212,Joshua Primo,SF,5.8,1.6,0.4,0.5,2.3,1.1,1.6,4144320
213,Keldon Johnson,SF,17.0,2.1,0.8,0.2,6.1,1.2,2.0,3873025
214,Jayson Tatum,SF,26.9,4.4,1.0,0.6,8.0,2.9,2.3,30351780
215,Ty Jerome,SG,7.1,2.3,0.6,0.1,1.6,0.8,1.5,4220057
216,Davon Reed,SG,4.4,1.1,0.5,0.2,2.3,0.3,1.3,1902133
217,Austin Reaves,SG,7.3,1.8,0.5,0.3,3.2,0.7,1.4,1563518
218,Malik Beasley,SG,12.1,1.5,0.5,0.2,2.9,0.5,1.1,15558035
219,Jaylen Nowell,SG,8.5,2.1,0.4,0.2,2.0,0.6,1.2,1930681
